DATE,MLYT.THRESH,MLYT.DATA,MJHT.THRESH,MJHT.DATA,MRYT.THRESH,MRYT.DATA,MLGT.THRESH,MLGT.DATA,MWHZ.THRESH,MWHZ.DATA,MGHZ.THRESH,MGHZ.DATA
02-Feb-1999 19:40:00, 100, 113, 100,  31,   0,   0, 200, 352, 100,  29, 150, 173
02-Feb-1999 19:50:01, 100,  78, 100,  28,   0,   0, 200, 240, 100,  24, 150, 157
04-Feb-1999 10:50:03, 100, 137, 100,  29, 100, 161, 200, 376, 100,  32, 150, 183
05-Feb-1999 16:20:06, 100, 201, 100,  33, 100, 247, 200, 599, 100,  54, 150, 186
07-Feb-1999 00:30:00, 100, 103, 100,  17, 100, 107, 200, 277, 100,  22, 150,  88
08-Feb-1999 23:00:02, 100, 125, 100,  21, 100, 130, 200, 265, 100,  29, 150, 133
08-Feb-1999 23:10:00, 100, 186, 100,  28, 100, 204, 200, 507, 100,  42, 150, 160
09-Feb-1999 18:20:03, 100, 130, 100,  22, 100, 132, 200, 315, 100,  30, 150, 116
10-Feb-1999 03:30:00, 100, 119, 100,  20, 100, 121, 200, 300, 100,  26, 150, 115
12-Feb-1999 17:50:00, 100, 120, 100,  19, 100, 121, 200, 316, 100,  26, 150,  98
01-Mar-1999 17:20:00, 100, 191, 100,  34, 100, 250, 200, 476, 100,  49, 150, 193
01-Mar-1999 17:30:00, 100, 248, 100,  35, 100, 343, 200, 806, 100,  56, 150, 175
01-Mar-1999 17:40:04, 100, 217, 100,  34, 100, 276, 200, 711, 100,  53, 150, 164
07-Mar-1999 12:30:01, 100, 200, 100,  28, 100, 194, 200, 476, 100,  39, 150, 186
07-Mar-1999 12:40:00, 100, 260, 100,  37, 100, 302, 200, 666, 100,  58, 150, 189
11-Mar-1999 02:30:01, 100, 310, 100,  21, 100,  85, 200, 254, 100,  28, 150, 220
11-Mar-1999 16:50:03, 100, 254, 100,  26, 100, 175, 200, 419, 100,  37, 150, 228
13-Mar-1999 06:00:00, 100,  72, 100,  16, 100, 109, 200, 226, 100,  19, 150, 600
15-Mar-1999 20:50:02, 100, 129, 100,  20, 100,  83, 200, 209, 100,  23, 150, 586
16-Mar-1999 11:00:00, 100, 127, 100,  18, 100,  95, 200, 245, 100,  29, 150, 654
20-Mar-1999 17:50:00, 100, 222, 100,  28, 100, 221, 200, 562, 100,  46, 150, 167
24-Mar-1999 13:20:00, 100, 254, 100,  37, 100, 288, 200, 650, 100,  65, 150, 226
25-Mar-1999 12:40:00, 100, 200, 100,  35, 100, 245, 200, 625, 100,  59, 150, 149
25-Mar-1999 12:50:00, 100, 122, 100,  23, 100, 114, 200, 305, 100,  30, 150,  75
26-Mar-1999 03:10:00, 100, 188, 100,  29, 100, 201, 200, 498, 100,  42, 150, 147
26-Mar-1999 03:20:04, 100, 164, 100,  30, 100, 206, 200, 512, 100,  45, 150, 132
26-Mar-1999 18:50:02, 100, 263, 100,  36, 100, 275, 200, 638, 100,  58, 150, 222
29-Mar-1999 06:00:04, 100, 105, 100,  24, 100, 141, 200, 348, 100,  29, 150, 107
30-Mar-1999 07:50:03, 150, 169,  50,  29, 150, 207, 300, 525,  50,  43, 150, 120
30-Mar-1999 08:50:00, 150, 225,  50, 252, 150, 265, 300, 683,  50,  53, 150, 178
01-Apr-1999 00:50:02, 150, 466,  50,  71, 150, 658, 300,1122,  50, 115, 150, 440
01-Apr-1999 01:00:00, 150, 233,  50,  33, 150, 253, 300, 602,  50,  50, 150, 205
01-Apr-1999 01:10:00, 150, 434,  50,  34, 150, 225, 300, 580,  50,  48, 150, 397
02-Apr-1999 17:10:07, 150, 232,  50,  32, 150, 248, 300, 662,  50,  57, 150, 154
02-Apr-1999 17:30:05, 150, 154,  50,  27, 150, 194, 300, 520,  50,  43, 150, 105
02-Apr-1999 19:40:00, 150, 161,  50,  31, 150, 205, 300, 466,  50,  48, 150, 141
03-Apr-1999 12:00:08, 150, 222,  50,  33, 150, 263, 300, 681,  50,  56, 150, 182
03-Apr-1999 12:10:00, 150, 240,  50,  39, 150, 308, 300, 804,  50,  59, 150, 163
03-Apr-1999 17:40:03, 150, 207,  50,  35, 150, 261, 300, 689,  50,  53, 150, 142
03-Apr-1999 17:50:00, 150, 211,  50,  36, 150, 277, 300, 690,  50,  50, 150, 143
03-Apr-1999 21:00:04, 150, 163,  50,  26, 150, 211, 300, 536,  50,  39, 150, 110
04-Apr-1999 23:30:02, 150, 211,  50,  32, 150, 259, 300, 585,  50,  53, 150, 168
06-Apr-1999 17:10:00, 150, 116,  50, 100, 150, 193, 300, 239,  50,  45, 150, 629
06-Apr-1999 23:50:01, 150, 255,  50,  32, 150, 272, 300, 663,  50,  55, 150, 642
07-Apr-1999 22:10:03, 150, 257,  50,  38, 150, 342, 300, 723,  50,  59, 150, 756
08-Apr-1999 10:10:00, 150,  99,  50,  35, 150, 226, 300, 477,  50,  29, 150, 599
11-Apr-1999 02:50:02, 150, 251,  50,  36, 150, 327, 300, 809,  50,  60, 150, 196
11-Apr-1999 23:40:00, 150, 211,  50,  26, 150, 236, 300, 580,  50,  45, 150, 161
14-Apr-1999 05:20:00, 150, 171,  50,  29, 150, 181, 300, 396,  50,  45, 150, 143
14-Apr-1999 05:30:01, 150, 175,  50,  25, 150, 217, 300, 487,  50,  38, 150, 124
16-Apr-1999 01:50:02, 150, 163,  50,  25, 150, 177, 300, 475,  50,  38, 150, 157
19-Apr-1999 04:30:02, 150, 166,  50,  36, 150, 253, 300, 366,  50,  41, 150, 205
19-Apr-1999 04:40:00, 150, 235,  50,  34, 150, 279, 300, 618,  50,  50, 150, 186
25-Apr-1999 01:00:00, 150, 383,  50,  79, 150, 170, 300, 528,  50,  75, 150, 252
25-Apr-1999 01:10:00, 150, 365,  50,  17, 150,  75, 300, 320,  50,  41, 150, 174
10-May-1999 10:30:01, 150, 409,   0,   0, 150, 397, 300, 750,  50, 122, 150, 492
20-May-1999 17:50:01, 150, 156,   0,   0, 150, 152, 300, 394,  50,  32, 150, 109
22-May-1999 13:20:03, 150, 289,   0,   0, 150, 313, 300, 568,  50,  67, 150, 743
22-May-1999 13:30:00, 150, 258,   0,   0, 150, 306, 300, 619,  50,  71, 150, 857
22-May-1999 13:40:01, 150, 173,   0,   0, 150, 183, 300, 378,  50,  34, 150,1032
22-May-1999 13:50:07, 150, 166,   0,   0, 150, 196, 300, 335,  50,  48, 150,1114
23-May-1999 02:50:01, 150, 410,   0,   0, 150, 676, 300, 968,  50, 111, 150, 829
05-Jun-1999 17:50:01, 150, 409,   0,   0, 150, 480, 300, 759,  50, 197, 150, 452
05-Jun-1999 18:00:05, 150, 396,   0,   0, 150, 766, 300,1316,  50, 131, 150, 334
05-Jun-1999 22:30:01, 150, 223,   0,   0, 150, 249, 300, 609,  50,  48, 150, 195
07-Jun-1999 23:30:01, 150, 184,   0,   0, 150, 209, 300, 470,  50,  40, 150, 141
08-Jun-1999 08:10:00, 150, 371,   0,   0, 150, 616, 300, 649,  50, 200, 150, 484
11-Jun-1999 00:40:04, 150, 428,   0,   0, 150, 492, 300,   1,  50, 120, 150, 292
13-Jun-1999 22:30:00, 150, 257,   0,   0, 150, 228, 300, 643,  50,  67, 150, 186
17-Jun-1999 06:00:04, 150, 339,   0,   0, 150, 461, 300, 590,  50, 143, 150, 373
17-Jun-1999 06:10:00, 150, 233,   0,   0, 150, 320, 300, 720,  50,  51, 150, 170
17-Jun-1999 06:20:01, 150, 160,   0,   0, 150, 166, 300, 466,  50,  36, 150, 121
23-Jun-1999 23:40:03, 150, 267,   0,   0, 150, 187, 300, 490,  50,  46, 150, 188
25-Jun-1999 06:40:00, 150, 331,   0,   0, 150, 249, 300, 508,  50,  58, 150, 208
26-Jun-1999 22:20:03, 150, 206,   0,   0, 150, 167, 300, 367,  50,  35, 150, 169
26-Jun-1999 22:30:00, 150, 204,   0,   0, 150, 171, 300, 404,  50,  37, 150, 150
28-Jun-1999 02:40:04, 150, 249,   0,   0, 150, 278, 300, 606,  50,  53, 150, 192
30-Jun-1999 02:10:06, 150, 239,   0,   0, 150, 362, 300,   2,  50,  56, 150, 196
02-Jul-1999 02:00:01, 150, 321,   0,   0, 150, 327, 300,   2,  50,  65, 150, 254
02-Jul-1999 21:40:06, 150, 282,   0,   0, 150, 333, 300,   2,  50,  58, 150, 226
03-Jul-1999 13:40:00, 150, 153,   0,   0, 150, 172, 300, 411,  50,  41, 150, 122
03-Jul-1999 21:00:00, 150, 223,   0,   0, 150, 253, 300,   2,  50,  50, 150, 186
08-Jul-1999 08:50:00, 150, 351,   0,   0, 150, 187, 300, 123,  50,  27, 150, 596
08-Jul-1999 09:00:04, 150, 324,   0,   0, 150, 119, 300, 348,  50,  28, 150, 900
09-Jul-1999 22:30:00, 150, 228,   0,   0, 150, 269, 300, 634,  50,  53, 150, 178
11-Jul-1999 08:00:04, 150, 157,   0,   0, 150, 290, 300, 323,  50, 103, 150, 273
11-Jul-1999 15:30:00, 150, 181,   0,   0, 150, 221, 300, 553,  50,  47, 150, 138
20-Jul-1999 05:10:00, 150, 266,   0,   0, 150, 480, 300, 463,  50, 216, 150, 456
20-Jul-1999 05:20:01, 150, 715,   0,   0, 150,1101, 300,1366,  50, 242, 150, 845
20-Jul-1999 05:30:06, 150, 238,   0,   0, 150, 227, 300, 532,  50,  50, 150, 219
27-Jul-1999 22:30:04, 150, 402,   0,   0, 150, 375, 300, 898,  50,  82, 150, 324
27-Jul-1999 22:40:00, 150, 205,   0,   0, 150, 219, 300, 502,  50,  49, 150, 170
28-Jul-1999 12:50:03, 150, 211,   0,   0, 150, 203, 300, 493,  50,  51, 150, 168
30-Jul-1999 03:20:02, 150, 219,   0,   0, 150, 182, 300, 587,  50,  64, 150, 107
03-Aug-1999 19:40:00, 150, 166,   0,   0, 150, 164, 300, 353,  50,  51, 150, 120
03-Aug-1999 19:50:04, 150, 350,   0,   0, 150, 332, 300, 983,  50,  99, 150, 201
18-Aug-1999 00:00:01, 150, 110,   0,   0, 150, 158, 300, 199,  50,  52, 150, 169
20-Aug-1999 00:20:00, 150,  17,   0,   0, 150, 167, 300, 310,  50,  30, 150, 260
25-Aug-1999 18:00:14, 150, 318,   0,   0, 150, 301, 300, 884,  50,  93, 150, 197
28-Aug-1999 00:30:03, 150, 256,   0,   0, 150, 452, 300, 447,  50, 175, 150, 366
02-Sep-1999 20:00:02, 150, 294,   0,   0, 150, 236, 300, 697,  50,  75, 150, 169
02-Sep-1999 20:10:00, 150, 283,   0,   0, 150, 225, 300, 768,  50,  79, 150, 155
03-Sep-1999 23:10:02, 150, 530,   0,   0, 150, 696, 300,1089,  50, 125, 150, 467
06-Sep-1999 20:50:02, 150, 144,   0,   0, 150, 152, 300, 397,  50,  31, 150, 687
07-Sep-1999 21:20:05, 150, 249,   0,   0, 150, 270, 300, 587,  50,  55, 150, 674
09-Sep-1999 09:10:00, 150, 229,   0,   0, 150, 241, 300, 530,  50,  51, 150, 711
10-Sep-1999 15:40:00, 150, 463,   0,   0, 150, 180, 300, 431,  50,  28, 150, 834
10-Sep-1999 16:10:02, 150, 185,   0,   0, 150, 165, 300, 190,  50,  15, 150, 777
10-Sep-1999 16:20:00, 150, 456,   0,   0, 150, 207, 300, 666,  50,  29, 150, 797
10-Sep-1999 20:00:06, 150, 261,   0,   0, 150, 244, 300, 627,  50,  51, 150, 725
10-Sep-1999 20:10:01, 150, 173,   0,   0, 150, 186, 300, 484,  50,  37, 150, 524
11-Sep-1999 08:30:00, 150, 279,   0,   0, 150, 260, 300, 858,  50,  25, 150, 404
11-Sep-1999 08:40:04, 150, 767,   0,   0, 150, 434, 300,1255,  50,  62, 150, 958
11-Sep-1999 08:50:00, 150, 275,   0,   0, 150, 188, 300, 721,  50,  31, 150, 464
12-Sep-1999 09:00:00, 150, 317,   0,   0, 150,  56, 300, 329,  50,  22, 150, 413
13-Sep-1999 02:10:00, 150, 178,   0,   0, 150, 165, 300, 457,  50,  36, 150, 330
13-Sep-1999 02:20:02, 150, 178,   0,   0, 150, 181, 300, 511,  50,  39, 150, 273
17-Sep-1999 07:50:00, 150,  41,   0,   0, 150, 282, 300, 321,  50,  23, 150, 172
17-Sep-1999 08:00:04, 150,  40,   0,   0, 150, 263, 300, 333,  50,  22, 150, 274
17-Sep-1999 08:10:00, 150,  74,   0,   0, 150, 261, 300, 334,  50,  21, 150, 240
17-Sep-1999 08:30:00, 150,  45,   0,   0, 150, 212, 300, 332,  50,  25, 150, 241
17-Sep-1999 08:50:04, 150,  38,   0,   0, 150, 258, 300, 316,  50,  21, 150, 159
17-Sep-1999 09:30:01, 150,  48,   0,   0, 150, 266, 300, 361,  50,  25, 150, 653
17-Sep-1999 09:40:05, 150,  37,   0,   0, 150, 260, 300, 304,  50,  27, 150, 719
17-Sep-1999 10:00:03, 150,  35,   0,   0, 150, 250, 300, 303,  50,  27, 150, 568
17-Sep-1999 11:00:00, 150, 155,   0,   0, 150, 209, 300, 254,  50,  25, 150, 490
17-Sep-1999 11:10:01, 150, 129,   0,   0, 150, 246, 300, 306,  50,  36, 150, 512
17-Sep-1999 11:20:05, 150,  77,   0,   0, 150, 245, 300, 323,  50,  29, 150, 397
17-Sep-1999 12:40:00, 150,  38,   0,   0, 150, 265, 300, 301,  50,  25, 150, 317
17-Sep-1999 15:00:05, 150, 260,   0,   0, 150, 191, 300, 235,  50,  24, 150, 461
17-Sep-1999 15:10:01, 150, 257,   0,   0, 150, 201, 300, 254,  50,  20, 150, 378
17-Sep-1999 15:20:03, 150, 272,   0,   0, 150, 217, 300, 241,  50,  18, 150, 425
17-Sep-1999 15:30:00, 150, 273,   0,   0, 150, 179, 300, 215,  50,  17, 150, 389
17-Sep-1999 15:40:01, 150, 257,   0,   0, 150, 205, 300, 262,  50,  18, 150, 395
17-Sep-1999 15:50:05, 150, 270,   0,   0, 150, 185, 300, 230,  50,  22, 150, 424
17-Sep-1999 16:00:01, 150, 261,   0,   0, 150, 182, 300, 205,  50,  15, 150, 389
17-Sep-1999 16:10:03, 150, 256,   0,   0, 150, 195, 300, 208,  50,  18, 150, 413
17-Sep-1999 16:20:00, 150, 265,   0,   0, 150, 176, 300, 188,  50,  13, 150, 391
17-Sep-1999 16:40:05, 150, 263,   0,   0, 150, 190, 300, 189,  50,  15, 150, 392
17-Sep-1999 16:50:01, 150, 266,   0,   0, 150, 174, 300, 194,  50,  14, 150, 389
17-Sep-1999 17:00:05, 150, 262,   0,   0, 150, 180, 300, 171,  50,  12, 150, 379
17-Sep-1999 17:10:00, 150, 273,   0,   0, 150, 174, 300, 193,  50,  13, 150, 397
17-Sep-1999 17:20:02, 150, 279,   0,   0, 150, 168, 300, 206,  50,  14, 150, 398
17-Sep-1999 17:30:00, 150, 298,   0,   0, 150, 178, 300, 162,  50,  11, 150, 405
17-Sep-1999 17:40:01, 150, 275,   0,   0, 150, 174, 300, 175,  50,  11, 150, 376
17-Sep-1999 17:50:04, 150, 265,   0,   0, 150, 193, 300, 184,  50,  12, 150, 352
17-Sep-1999 18:00:00, 150, 253,   0,   0, 150, 200, 300, 184,  50,  12, 150, 330
17-Sep-1999 18:10:02, 150, 236,   0,   0, 150, 161, 300, 152,  50,  10, 150, 304
17-Sep-1999 18:20:00, 150, 246,   0,   0, 150, 178, 300, 182,  50,  12, 150, 313
17-Sep-1999 19:30:04, 150, 396,   0,   0, 150, 156, 300, 157,  50,  10, 150, 412
17-Sep-1999 19:50:04, 150, 402,   0,   0, 150, 166, 300, 153,  50,   9, 150, 420
17-Sep-1999 20:10:01, 150, 265,   0,   0, 150, 160, 300, 157,  50,  10, 150, 292
17-Sep-1999 20:20:05, 150, 374,   0,   0, 150, 192, 300, 163,  50,  10, 150, 383
17-Sep-1999 20:30:01, 150, 281,   0,   0, 150, 161, 300, 153,  50,   9, 150, 287
17-Sep-1999 20:50:00, 150, 250,   0,   0, 150, 175, 300, 164,  50,  11, 150, 261
17-Sep-1999 21:10:05, 150, 226,   0,   0, 150, 169, 300, 147,  50,  10, 150, 238
17-Sep-1999 21:20:01, 150, 355,   0,   0, 150, 159, 300, 165,  50,  10, 150, 361
13-Oct-1999 00:50:00, 150, 191,   0,   0, 150, 200, 300, 502,  50,  38, 150, 117
15-Oct-1999 17:30:00, 150, 148,   0,   0, 150, 259, 300, 348,  50,  45, 150, 161
16-Oct-1999 13:30:03, 150, 229,   0,   0, 150, 222, 300, 867,  50,  65, 150, 126
19-Oct-1999 02:10:02, 150, 230,   0,   0, 150, 226, 300, 549,  50,  47, 150, 139
20-Oct-1999 05:00:00, 150, 207,   0,   0, 150, 344, 300, 623,  50,  46, 150, 133
20-Oct-1999 10:40:04, 150,  73,   0,   0, 150, 432, 300, 488,  50,  27, 150, 154
21-Oct-1999 01:20:03, 150, 702,   0,   0, 150, 359, 300,1243,  50,  52, 150, 718
21-Oct-1999 01:30:00, 150, 468,   0,   0, 150, 198, 300, 903,  50,  36, 150, 603
21-Oct-1999 01:40:01, 150, 192,   0,   0, 150, 130, 300, 396,  50,  19, 150, 259
21-Oct-1999 01:50:05, 150, 370,   0,   0, 150, 153, 300, 781,  50,  27, 150, 373
21-Oct-1999 02:00:01, 150, 233,   0,   0, 150, 141, 300, 686,  50,  21, 150, 337
21-Oct-1999 04:00:00, 150, 249,   0,   0, 150, 171, 300, 541,  50,  22, 150, 361
21-Oct-1999 04:10:02, 150, 229,   0,   0, 150, 141, 300, 503,  50,  20, 150, 339
21-Oct-1999 05:00:04, 150, 407,   0,   0, 150, 281, 300, 920,  50,  34, 150, 538
21-Oct-1999 05:10:00, 150, 325,   0,   0, 150, 155, 300, 956,  50,  34, 150, 587
22-Oct-1999 23:40:03, 150, 649,   0,   0, 150, 231, 300,1145,  50,  50, 150, 786
22-Oct-1999 23:50:00, 150, 604,   0,   0, 150, 228, 300,1235,  50,  56, 150, 901
23-Oct-1999 00:00:01, 150, 160,   0,   0, 150,  64, 300, 348,  50,  22, 150, 419
23-Oct-1999 17:00:00, 150, 484,   0,   0, 150, 602, 300,1074,  50, 103, 150, 329
23-Oct-1999 17:10:01, 150, 206,   0,   0, 150, 171, 300, 464,  50,  41, 150, 115
26-Oct-1999 06:50:06, 150, 491,   0,   0, 150, 434, 300, 892,  50, 101, 150, 860
27-Oct-1999 17:20:00, 150, 327,   0,   0, 150, 294, 300, 795,  50,  65, 150, 187
27-Oct-1999 17:30:00, 150, 292,   0,   0, 150, 287, 300, 650,  50,  63, 150, 189
28-Oct-1999 17:20:02, 150, 156,   0,   0, 150, 156, 300, 353,  50,  36, 150, 120
28-Oct-1999 17:30:00, 150, 266,   0,   0, 150, 277, 300, 521,  50,  71, 150, 217
02-Nov-1999 04:10:06, 150, 306,   0,   0, 150, 269, 300, 721,  50,  64, 150, 169
02-Nov-1999 04:20:00, 150, 229,   0,   0, 150, 204, 300, 573,  50,  47, 150, 128
02-Nov-1999 04:30:04, 150, 266,   0,   0, 150, 219, 300, 641,  50,  53, 150, 138
02-Nov-1999 04:40:00, 150, 197,   0,   0, 150, 176, 300, 481,  50,  41, 150, 103
02-Nov-1999 04:50:02, 150, 307,   0,   0, 150, 277, 300, 694,  50,  58, 150, 166
02-Nov-1999 05:00:00, 150, 299,   0,   0, 150, 255, 300, 693,  50,  58, 150, 154
02-Nov-1999 05:10:00, 150, 261,   0,   0, 150, 236, 300, 630,  50,  52, 150, 141
02-Nov-1999 05:20:06, 150, 280,   0,   0, 150, 246, 300, 674,  50,  55, 150, 154
02-Nov-1999 08:30:01, 150, 178,   0,   0, 150, 174, 300, 473,  50,  36, 150, 107
02-Nov-1999 18:00:25, 150, 220,   0,   0, 150, 194, 300, 560,  50,  44, 150, 116
02-Nov-1999 18:10:00, 150, 206,   0,   0, 150, 197, 300, 534,  50,  42, 150,  56
02-Nov-1999 18:20:01, 150, 199,   0,   0, 150, 194, 300, 541,  50,  39, 150,   2
02-Nov-1999 18:30:05, 150, 170,   0,   0, 150, 163, 300, 461,  50,  34, 150, 144
06-Nov-1999 17:40:02, 150, 240,   0,   0, 150, 284, 300, 439,  50,  92, 150, 236
08-Nov-1999 12:00:04, 150, 293,   0,   0, 150, 316, 300, 527,  50, 119, 150, 545
08-Nov-1999 16:40:00, 150, 214,   0,   0, 150, 186, 300, 513,  50,  53, 150, 113
08-Nov-1999 16:50:02, 150, 187,   0,   0, 150, 167, 300, 475,  50,  45, 150, 106
09-Nov-1999 17:20:01, 150, 212,   0,   0, 150, 176, 300, 451,  50,  45, 150, 117
09-Nov-1999 17:30:03, 150, 172,   0,   0, 150, 177, 300, 425,  50,  42, 150, 105
09-Nov-1999 17:40:00, 150, 168,   0,   0, 150, 178, 300, 436,  50,  42, 150, 102
09-Nov-1999 17:50:03, 150, 188,   0,   0, 150, 198, 300, 494,  50,  44, 150, 106
09-Nov-1999 18:00:00, 150, 186,   0,   0, 150, 196, 300, 506,  50,  45, 150, 101
09-Nov-1999 18:10:01, 150, 170,   0,   0, 150, 177, 300, 482,  50,  42, 150,  95
09-Nov-1999 18:20:04, 150, 173,   0,   0, 150, 156, 300, 433,  50,  36, 150,  91
10-Nov-1999 18:50:01, 150, 332,   0,   0, 150, 171, 300, 477,  50,  43,   0,   0
10-Nov-1999 19:00:05, 150, 324,   0,   0, 150, 210, 300, 538,  50,  47,   0,   0
10-Nov-1999 19:20:03, 150, 319,   0,   0, 150, 158, 300, 407,  50,  41,   0,   0
16-Nov-1999 03:50:05,   0,   0,  30,  46, 110, 172, 300, 235,  30,  40,   0,   0
16-Nov-1999 04:00:00,   0,   0,  30,  44, 110, 319, 300, 614,  30,  39,   0,   0
17-Nov-1999 11:40:01,   0,   0,  30,  40, 110, 124, 300, 328,  30,  38,   0,   0
18-Nov-1999 15:00:00,   0,   0,  30,  50, 110, 186, 300,1038,  30,  52,   0,   0
19-Nov-1999 01:00:05,   0,   0,  30,  33, 110, 174, 300, 617,  30,  28,   0,   0
19-Nov-1999 01:20:03,   0,   0,  30,  35, 110, 168, 300, 375,  30,  17,   0,   0
19-Nov-1999 12:00:03,   0,   0,  30,  33, 110, 114, 300, 326,  30,  22,   0,   0
19-Nov-1999 18:00:10,   0,   0,  30,  45, 110, 148, 300, 229,  30,  36,   0,   0
22-Nov-1999 20:10:00,   0,   0,  30,  44, 110, 129, 300, 401,  30,  24,   0,   0
10-Dec-1999 14:00:01,   0,   0,  30,  33, 110,  26, 300, 329,  30,  34,   0,   0
11-Dec-1999 00:40:02,   0,   0,  30,  70, 110, 378, 300, 821,  30,  45,   0,   0
11-Dec-1999 00:50:00,   0,   0,  30,  67, 110, 683, 300,1294,  30,  68,   0,   0
11-Dec-1999 01:00:02,   0,   0,  30,  73, 110, 403, 300,1013,  30,  42,   0,   0
11-Dec-1999 01:10:04,   0,   0,  30,  78, 110, 112, 300, 347,  30,  15,   0,   0
13-Dec-1999 12:10:00,   0,   0,  30,  49, 110,  29, 300, 375,  30,  34,   0,   0
14-Dec-1999 14:50:02,   0,   0,  30,  36, 110, 124, 300, 159,  30,  33,   0,   0
15-Dec-1999 12:00:00,   0,   0,  30,  31, 110,  26, 300, 341,  30,  32,   0,   0
